id,name,album_name,artist_ids,danceability,energy,speechiness,acousticness,valence,tempo,duration_ms
6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,Fin de Semana,"3l9G1G9MxH6DaRhwLklaf5,7Gi6gjaWy3DxyilpF1a8Is",0.699,0.541,0.0826,0.0628,0.365,98.395,224921
7phmBo7bB9I9YifAXqnlqV,I Wrote The Book,One Thing At A Time,4oUHIQIBe0LHzYfvXNW4QM,0.692,0.808,0.0396,0.0834,0.802,143.977,181767
5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,Give It To Me (Full Vocal Mix),21dVknSLCsK37cWozWDZZS,0.874,0.869,0.0315,0.00116,0.726,126.027,102861
03o8WSqd2K5rkGvn9IsLy2,Autobahn,Autobahn,2kXKa3aAFngGz2P4GjG5w2,0.801,0.815,0.108,0.00852,0.629,140.013,170653
3VezyVVENyPQ5u2DIJsITb,LEBENSLANG - HBz Remix,LEBENSLANG (HBz Remix),"6vNAKgK5d74N1I0zTxRPDp,4jsmk00NuPR1FfXqUCF1ac,7I2JG3CcPawkeQPE7uypHJ",0.774,0.75,0.135,0.048,0.546,139.966,170784
04C356Ob8t7AGIWvmEqUU6,Ich will nicht heim,Weisses Herz,2rEVnwCPBeGkWMv425KoG1,0.532,0.446,0.0344,0.149,0.345,180.008,149892
7eb7JIRN6HKpedFSDGd4yI,Filtré,Arès,"2ptKt4yP4mYRZmvi09JYyi,5gqmbbfjcikQBzPB5Hv13I",0.854,0.867,0.0534,0.122,0.787,129.989,168878
5eGid3rXirJcCoROMnTqg0,Sadio (feat. Offset),Sincèrement,"5gs4Sm2WQUkcGeikMcVHbh,4DdkRBBYG6Yk9Ka8tdJ9BW",0.769,,,,,,162480
1aOl53hkZGHkl2Snhr7opL,How Do I Say Goodbye,The Hardest Love,3QSQFmccmX81fWCUSPTS7y,0.4,,0.0674,0.214,0.393,81.552,163603
6mxO7QRuE82rqvlszrGdMi,Joli,"SOIXVNT3, pt. 2",4reog9Hn84AuUWvGX5a2Yq,0.751,0.57,0.141,0.49,0.76,136.048,156600
